srtm_12_04,X,Y
1736.0000000000,-122.1658327300,43.0825001450
1744.0000000000,-122.1649993900,43.0825001450
1751.0000000000,-122.1641660600,43.0825001450
1756.0000000000,-122.1633327300,43.0825001450
1760.0000000000,-122.1624993900,43.0825001450
1767.0000000000,-122.1616660600,43.0825001450
1773.0000000000,-122.1608327300,43.0825001450
1781.0000000000,-122.1599993900,43.0825001450
1785.0000000000,-122.1591660600,43.0825001450
1791.0000000000,-122.1583327300,43.0825001450
1797.0000000000,-122.1574993900,43.0825001450
1806.0000000000,-122.1566660600,43.0825001450
1812.0000000000,-122.1558327300,43.0825001450
1809.0000000000,-122.1549993900,43.0825001450
1807.0000000000,-122.1541660600,43.0825001450
1809.0000000000,-122.1533327300,43.0825001450
1812.0000000000,-122.1524993900,43.0825001450
1814.0000000000,-122.1516660600,43.0825001450
1817.0000000000,-122.1508327300,43.0825001450
1819.0000000000,-122.1499993900,43.0825001450
1826.0000000000,-122.1491660600,43.0825001450
1832.0000000000,-122.1483327300,43.0825001450
1835.0000000000,-122.1474993900,43.0825001450
1836.0000000000,-122.1466660600,43.0825001450
1835.0000000000,-122.1458327300,43.0825001450
1836.0000000000,-122.1449993900,43.0825001450
1841.0000000000,-122.1441660600,43.0825001450
1849.0000000000,-122.1433327300,43.0825001450
1854.0000000000,-122.1424993900,43.0825001450
1857.0000000000,-122.1416660600,43.0825001450
1859.0000000000,-122.1408327300,43.0825001450
1865.0000000000,-122.1399993900,43.0825001450
1870.0000000000,-122.1391660600,43.0825001450
1880.0000000000,-122.1383327300,43.0825001450
1886.0000000000,-122.1374993900,43.0825001450
1884.0000000000,-122.1366660600,43.0825001450
1876.0000000000,-122.1358327300,43.0825001450
1869.0000000000,-122.1349993900,43.0825001450
1863.0000000000,-122.1341660600,43.0825001450
1860.0000000000,-122.1333327300,43.0825001450
1856.0000000000,-122.1324993900,43.0825001450
1846.0000000000,-122.1316660600,43.0825001450
1837.0000000000,-122.1308327300,43.0825001450
1832.0000000000,-122.1299993900,43.0825001450
1822.0000000000,-122.1291660600,43.0825001450
1821.0000000000,-122.1283327300,43.0825001450
1817.0000000000,-122.1274993900,43.0825001450
1807.0000000000,-122.1266660600,43.0825001450
1802.0000000000,-122.1258327300,43.0825001450
1800.0000000000,-122.1249993900,43.0825001450
1798.0000000000,-122.1241660600,43.0825001450
1794.0000000000,-122.1233327300,43.0825001450
1790.0000000000,-122.1224993900,43.0825001450
1785.0000000000,-122.1216660600,43.0825001450
1782.0000000000,-122.1208327300,43.0825001450
1781.0000000000,-122.1199993900,43.0825001450
1779.0000000000,-122.1191660600,43.0825001450
1775.0000000000,-122.1183327300,43.0825001450
1773.0000000000,-122.1174993900,43.0825001450
1774.0000000000,-122.1166660600,43.0825001450
1773.0000000000,-122.1158327300,43.0825001450
1773.0000000000,-122.1149993900,43.0825001450
1773.0000000000,-122.1141660600,43.0825001450
1772.0000000000,-122.1133327300,43.0825001450
1774.0000000000,-122.1124993900,43.0825001450
1774.0000000000,-122.1116660600,43.0825001450
1775.0000000000,-122.1108327300,43.0825001450
1775.0000000000,-122.1099993900,43.0825001450
1776.0000000000,-122.1091660600,43.0825001450
1775.0000000000,-122.1083327300,43.0825001450
1776.0000000000,-122.1074993900,43.0825001450
1778.0000000000,-122.1066660600,43.0825001450
1785.0000000000,-122.1058327300,43.0825001450
1789.0000000000,-122.1049993900,43.0825001450
1792.0000000000,-122.1041660600,43.0825001450
1795.0000000000,-122.1033327300,43.0825001450
1799.0000000000,-122.1024993900,43.0825001450
1803.0000000000,-122.1016660600,43.0825001450
1810.0000000000,-122.1008327300,43.0825001450
1810.0000000000,-122.0999993900,43.0825001450
1811.0000000000,-122.0991660600,43.0825001450
1814.0000000000,-122.0983327300,43.0825001450
1819.0000000000,-122.0974993900,43.0825001450
1824.0000000000,-122.0966660600,43.0825001450
1822.0000000000,-122.0958327300,43.0825001450
1819.0000000000,-122.0949993900,43.0825001450
1817.0000000000,-122.0941660600,43.0825001450
1818.0000000000,-122.0933327300,43.0825001450
1819.0000000000,-122.0924993900,43.0825001450
1819.0000000000,-122.0916660600,43.0825001450
1818.0000000000,-122.0908327300,43.0825001450
1814.0000000000,-122.0899993900,43.0825001450
1812.0000000000,-122.0891660600,43.0825001450
1813.0000000000,-122.0883327300,43.0825001450
1813.0000000000,-122.0874993900,43.0825001450
1814.0000000000,-122.0866660600,43.0825001450
1811.0000000000,-122.0858327300,43.0825001450
1812.0000000000,-122.0849993900,43.0825001450
1816.0000000000,-122.0841660600,43.0825001450
1818.0000000000,-122.0833327300,43.0825001450
1822.0000000000,-122.0824993900,43.0825001450
1825.0000000000,-122.0816660600,43.0825001450
1825.0000000000,-122.0808327300,43.0825001450
1827.0000000000,-122.0799993900,43.0825001450
1825.0000000000,-122.0791660600,43.0825001450
1822.0000000000,-122.0783327300,43.0825001450
1818.0000000000,-122.0774993900,43.0825001450
1819.0000000000,-122.0766660600,43.0825001450
1822.0000000000,-122.0758327300,43.0825001450
1823.0000000000,-122.0749993900,43.0825001450
1823.0000000000,-122.0741660600,43.0825001450
1824.0000000000,-122.0733327300,43.0825001450
1824.0000000000,-122.0724993900,43.0825001450
1821.0000000000,-122.0716660600,43.0825001450
1822.0000000000,-122.0708327300,43.0825001450
1823.0000000000,-122.0699993900,43.0825001450
1815.0000000000,-122.0691660600,43.0825001450
1805.0000000000,-122.0683327300,43.0825001450
1807.0000000000,-122.0674993900,43.0825001450
1810.0000000000,-122.0666660600,43.0825001450
1814.0000000000,-122.0658327300,43.0825001450
1818.0000000000,-122.0649993900,43.0825001450
1820.0000000000,-122.0641660600,43.0825001450
1820.0000000000,-122.0633327300,43.0825001450
1818.0000000000,-122.0624993900,43.0825001450
1814.0000000000,-122.0616660600,43.0825001450
1809.0000000000,-122.0608327300,43.0825001450
1805.0000000000,-122.0599993900,43.0825001450
1797.0000000000,-122.0591660600,43.0825001450
1793.0000000000,-122.0583327300,43.0825001450
1788.0000000000,-122.0574993900,43.0825001450
1781.0000000000,-122.0566660600,43.0825001450
1775.0000000000,-122.0558327300,43.0825001450
1775.0000000000,-122.0549993900,43.0825001450
1776.0000000000,-122.0541660600,43.0825001450
1776.0000000000,-122.0533327300,43.0825001450
1775.0000000000,-122.0524993900,43.0825001450
1771.0000000000,-122.0516660600,43.0825001450
1768.0000000000,-122.0508327300,43.0825001450
1764.0000000000,-122.0499993900,43.0825001450
1761.0000000000,-122.0491660600,43.0825001450
1757.0000000000,-122.0483327300,43.0825001450
1753.0000000000,-122.0474993900,43.0825001450
1754.0000000000,-122.0466660600,43.0825001450
1752.0000000000,-122.0458327300,43.0825001450
1750.0000000000,-122.0449993900,43.0825001450
1748.0000000000,-122.0441660600,43.0825001450
1746.0000000000,-122.0433327300,43.0825001450
1745.0000000000,-122.0424993900,43.0825001450
1743.0000000000,-122.0416660600,43.0825001450
1737.0000000000,-122.0408327300,43.0825001450
1733.0000000000,-122.0399993900,43.0825001450
1733.0000000000,-122.0391660600,43.0825001450
1733.0000000000,-122.0383327300,43.0825001450
1731.0000000000,-122.0374993900,43.0825001450
1725.0000000000,-122.0366660600,43.0825001450
1718.0000000000,-122.0358327300,43.0825001450
1714.0000000000,-122.0349993900,43.0825001450
1708.0000000000,-122.0341660600,43.0825001450
1702.0000000000,-122.0333327300,43.0825001450
1700.0000000000,-122.0324993900,43.0825001450
1698.0000000000,-122.0316660600,43.0825001450
1693.0000000000,-122.0308327300,43.0825001450
1691.0000000000,-122.0299993900,43.0825001450
1687.0000000000,-122.0291660600,43.0825001450
1683.0000000000,-122.0283327300,43.0825001450
1678.0000000000,-122.0274993900,43.0825001450
1671.0000000000,-122.0266660600,43.0825001450
1668.0000000000,-122.0258327300,43.0825001450
1666.0000000000,-122.0249993900,43.0825001450
1665.0000000000,-122.0241660600,43.0825001450
1666.0000000000,-122.0233327300,43.0825001450
1663.0000000000,-122.0224993900,43.0825001450
1662.0000000000,-122.0216660600,43.0825001450
1660.0000000000,-122.0208327300,43.0825001450
1656.0000000000,-122.0199993900,43.0825001450
1654.0000000000,-122.0191660600,43.0825001450
1650.0000000000,-122.0183327300,43.0825001450
1646.0000000000,-122.0174993900,43.0825001450
1644.0000000000,-122.0166660600,43.0825001450
1638.0000000000,-122.0158327300,43.0825001450
1635.0000000000,-122.0149993900,43.0825001450
1633.0000000000,-122.0141660600,43.0825001450
1629.0000000000,-122.0133327300,43.0825001450
1627.0000000000,-122.0124993900,43.0825001450
1624.0000000000,-122.0116660600,43.0825001450
1622.0000000000,-122.0108327300,43.0825001450
1617.0000000000,-122.0099993900,43.0825001450
1613.0000000000,-122.0091660600,43.0825001450
1612.0000000000,-122.0083327300,43.0825001450
1611.0000000000,-122.0074993900,43.0825001450
1607.0000000000,-122.0066660600,43.0825001450
1603.0000000000,-122.0058327300,43.0825001450
1601.0000000000,-122.0049993900,43.0825001450
1572.0000000000,-122.2258327300,43.0783334790
1573.0000000000,-122.2249993900,43.0783334790
1572.0000000000,-122.2241660600,43.0783334790
1571.0000000000,-122.2233327300,43.0783334790
1572.0000000000,-122.2224993900,43.0783334790
1576.0000000000,-122.2216660600,43.0783334790
1575.0000000000,-122.2208327300,43.0783334790
1572.0000000000,-122.2199993900,43.0783334790
1573.0000000000,-122.2191660600,43.0783334790
1575.0000000000,-122.2183327300,43.0783334790
1576.0000000000,-122.2174993900,43.0783334790
1579.0000000000,-122.2166660600,43.0783334790
1583.0000000000,-122.2158327300,43.0783334790
1587.0000000000,-122.2149993900,43.0783334790
1591.0000000000,-122.2141660600,43.0783334790
1595.0000000000,-122.2133327300,43.0783334790
1602.0000000000,-122.2124993900,43.0783334790
1607.0000000000,-122.2116660600,43.0783334790
1612.0000000000,-122.2108327300,43.0783334790
1613.0000000000,-122.2099993900,43.0783334790
1617.0000000000,-122.2091660600,43.0783334790
1621.0000000000,-122.2083327300,43.0783334790
1621.0000000000,-122.2074993900,43.0783334790
1621.0000000000,-122.2066660600,43.0783334790
1623.0000000000,-122.2058327300,43.0783334790
1624.0000000000,-122.2049993900,43.0783334790
1628.0000000000,-122.2041660600,43.0783334790
1631.0000000000,-122.2033327300,43.0783334790
1635.0000000000,-122.2024993900,43.0783334790
1638.0000000000,-122.2016660600,43.0783334790
1641.0000000000,-122.2008327300,43.0783334790
1644.0000000000,-122.1999993900,43.0783334790
1649.0000000000,-122.1991660600,43.0783334790
1655.0000000000,-122.1983327300,43.0783334790
1660.0000000000,-122.1974993900,43.0783334790
1662.0000000000,-122.1966660600,43.0783334790
1657.0000000000,-122.1958327300,43.0783334790
1650.0000000000,-122.1949993900,43.0783334790
1648.0000000000,-122.1941660600,43.0783334790
1651.0000000000,-122.1933327300,43.0783334790
1656.0000000000,-122.1924993900,43.0783334790
1661.0000000000,-122.1916660600,43.0783334790
1664.0000000000,-122.1908327300,43.0783334790
1665.0000000000,-122.1899993900,43.0783334790
1667.0000000000,-122.1891660600,43.0783334790
1668.0000000000,-122.1883327300,43.0783334790
1669.0000000000,-122.1874993900,43.0783334790
1672.0000000000,-122.1866660600,43.0783334790
1672.0000000000,-122.1858327300,43.0783334790
1671.0000000000,-122.1849993900,43.0783334790
1673.0000000000,-122.1841660600,43.0783334790
1674.0000000000,-122.1833327300,43.0783334790
1674.0000000000,-122.1824993900,43.0783334790
1677.0000000000,-122.1816660600,43.0783334790
1679.0000000000,-122.1808327300,43.0783334790
1681.0000000000,-122.1799993900,43.0783334790
1683.0000000000,-122.1791660600,43.0783334790
1683.0000000000,-122.1783327300,43.0783334790
1684.0000000000,-122.1774993900,43.0783334790
1687.0000000000,-122.1766660600,43.0783334790
1690.0000000000,-122.1758327300,43.0783334790
1692.0000000000,-122.1749993900,43.0783334790
1695.0000000000,-122.1741660600,43.0783334790
1694.0000000000,-122.1733327300,43.0783334790
1694.0000000000,-122.1724993900,43.0783334790
1697.0000000000,-122.1716660600,43.0783334790
1699.0000000000,-122.1708327300,43.0783334790
1706.0000000000,-122.1699993900,43.0783334790
1719.0000000000,-122.1691660600,43.0783334790
1730.0000000000,-122.1683327300,43.0783334790
1741.0000000000,-122.1674993900,43.0783334790
1751.0000000000,-122.1666660600,43.0783334790
1762.0000000000,-122.1658327300,43.0783334790
1767.0000000000,-122.1649993900,43.0783334790
1774.0000000000,-122.1641660600,43.0783334790
1785.0000000000,-122.1633327300,43.0783334790
1796.0000000000,-122.1624993900,43.0783334790
1804.0000000000,-122.1616660600,43.0783334790
1816.0000000000,-122.1608327300,43.0783334790
1824.0000000000,-122.1599993900,43.0783334790
1824.0000000000,-122.1591660600,43.0783334790
1821.0000000000,-122.1583327300,43.0783334790
1823.0000000000,-122.1574993900,43.0783334790
1825.0000000000,-122.1566660600,43.0783334790
1826.0000000000,-122.1558327300,43.0783334790
1823.0000000000,-122.1549993900,43.0783334790
1826.0000000000,-122.1541660600,43.0783334790
1831.0000000000,-122.1533327300,43.0783334790
1834.0000000000,-122.1524993900,43.0783334790
1840.0000000000,-122.1516660600,43.0783334790
1846.0000000000,-122.1508327300,43.0783334790
1846.0000000000,-122.1499993900,43.0783334790
1845.0000000000,-122.1491660600,43.0783334790
1850.0000000000,-122.1483327300,43.0783334790
1857.0000000000,-122.1474993900,43.0783334790
1863.0000000000,-122.1466660600,43.0783334790
1870.0000000000,-122.1458327300,43.0783334790
1871.0000000000,-122.1449993900,43.0783334790
1877.0000000000,-122.1441660600,43.0783334790
1880.0000000000,-122.1433327300,43.0783334790
1887.0000000000,-122.1424993900,43.0783334790
1893.0000000000,-122.1416660600,43.0783334790
1896.0000000000,-122.1408327300,43.0783334790
1903.0000000000,-122.1399993900,43.0783334790
1909.0000000000,-122.1391660600,43.0783334790
1912.0000000000,-122.1383327300,43.0783334790
1909.0000000000,-122.1374993900,43.0783334790
1907.0000000000,-122.1366660600,43.0783334790
1907.0000000000,-122.1358327300,43.0783334790
1912.0000000000,-122.1349993900,43.0783334790
1925.0000000000,-122.1341660600,43.0783334790
1930.0000000000,-122.1333327300,43.0783334790
1928.0000000000,-122.1324993900,43.0783334790
1923.0000000000,-122.1316660600,43.0783334790
1918.0000000000,-122.1308327300,43.0783334790
1903.0000000000,-122.1299993900,43.0783334790
1888.0000000000,-122.1291660600,43.0783334790
1873.0000000000,-122.1283327300,43.0783334790
1858.0000000000,-122.1274993900,43.0783334790
1841.0000000000,-122.1266660600,43.0783334790
1828.0000000000,-122.1258327300,43.0783334790
1820.0000000000,-122.1249993900,43.0783334790
1814.0000000000,-122.1241660600,43.0783334790
