USA_Canada,X,Y
0.0000000000,-118.3991666700,33.4841666420
0.0000000000,-118.3983333300,33.4841666420
0.0000000000,-118.3975000000,33.4841666420
0.0000000000,-118.3966666700,33.4841666420
0.0000000000,-118.3958333300,33.4841666420
0.0000000000,-118.3950000000,33.4841666420
0.0000000000,-118.3941666700,33.4841666420
0.0000000000,-118.3933333300,33.4841666420
0.0000000000,-118.3925000000,33.4841666420
0.0000000000,-118.3916666700,33.4841666420
0.0000000000,-118.3908333300,33.4841666420
0.0000000000,-118.3900000000,33.4841666420
0.0000000000,-118.3891666700,33.4841666420
0.0000000000,-118.3883333300,33.4841666420
0.0000000000,-118.3875000000,33.4841666420
0.0000000000,-118.3866666700,33.4841666420
0.0000000000,-118.3858333300,33.4841666420
0.0000000000,-118.3850000000,33.4841666420
0.0000000000,-118.3841666700,33.4841666420
0.0000000000,-118.3833333300,33.4841666420
0.0000000000,-118.3825000000,33.4841666420
0.0000000000,-118.3816666700,33.4841666420
0.0000000000,-118.3808333300,33.4841666420
0.0000000000,-118.3800000000,33.4841666420
0.0000000000,-118.3791666700,33.4841666420
0.0000000000,-118.3783333300,33.4841666420
0.0000000000,-118.3775000000,33.4841666420
0.0000000000,-118.3766666700,33.4841666420
0.0000000000,-118.3758333300,33.4841666420
0.0000000000,-118.3750000000,33.4841666420
0.0000000000,-118.3741666700,33.4841666420
0.0000000000,-118.3733333300,33.4841666420
0.0000000000,-118.3725000000,33.4841666420
0.0000000000,-118.3716666700,33.4841666420
0.0000000000,-118.3708333300,33.4841666420
0.0000000000,-118.3700000000,33.4841666420
0.0000000000,-118.3691666700,33.4841666420
0.0000000000,-118.3683333300,33.4841666420
0.0000000000,-118.3675000000,33.4841666420
0.0000000000,-118.3666666700,33.4841666420
0.0000000000,-118.3658333300,33.4841666420
0.0000000000,-118.3650000000,33.4841666420
0.0000000000,-118.3641666700,33.4841666420
0.0000000000,-118.3633333300,33.4841666420
0.0000000000,-118.3625000000,33.4841666420
0.0000000000,-118.3616666700,33.4841666420
0.0000000000,-118.3608333300,33.4841666420
0.0000000000,-118.3600000000,33.4841666420
0.0000000000,-118.3591666700,33.4841666420
0.0000000000,-118.3583333300,33.4841666420
0.0000000000,-118.3575000000,33.4841666420
0.0000000000,-118.3566666700,33.4841666420
0.0000000000,-118.3558333300,33.4841666420
0.0000000000,-118.3550000000,33.4841666420
0.0000000000,-118.3541666700,33.4841666420
0.0000000000,-118.3533333300,33.4841666420
0.0000000000,-118.3525000000,33.4841666420
0.0000000000,-118.3516666700,33.4841666420
0.0000000000,-118.3508333300,33.4841666420
0.0000000000,-118.3500000000,33.4841666420
0.0000000000,-118.3491666700,33.4841666420
0.0000000000,-118.3483333300,33.4841666420
0.0000000000,-118.3475000000,33.4841666420
0.0000000000,-118.3466666700,33.4841666420
0.0000000000,-118.3458333300,33.4841666420
0.0000000000,-118.3450000000,33.4841666420
0.0000000000,-118.3441666700,33.4841666420
0.0000000000,-118.3433333300,33.4841666420
0.0000000000,-118.3425000000,33.4841666420
0.0000000000,-118.3416666700,33.4841666420
0.0000000000,-118.3408333300,33.4841666420
0.0000000000,-118.3400000000,33.4841666420
0.0000000000,-118.3391666700,33.4841666420
0.0000000000,-118.3383333300,33.4841666420
0.0000000000,-118.3375000000,33.4841666420
0.0000000000,-118.3366666700,33.4841666420
0.0000000000,-118.3358333300,33.4841666420
0.0000000000,-118.3350000000,33.4841666420
0.0000000000,-118.3341666700,33.4841666420
0.0000000000,-118.3333333300,33.4841666420
0.0000000000,-118.3325000000,33.4841666420
0.0000000000,-118.3316666700,33.4841666420
0.0000000000,-118.3308333300,33.4841666420
0.0000000000,-118.3300000000,33.4841666420
0.0000000000,-118.3291666700,33.4841666420
0.0000000000,-118.3283333300,33.4841666420
0.0000000000,-118.3275000000,33.4841666420
0.0000000000,-118.3266666700,33.4841666420
0.0000000000,-118.3258333300,33.4841666420
0.0000000000,-118.3250000000,33.4841666420
0.0000000000,-118.3241666700,33.4841666420
0.0000000000,-118.3233333300,33.4841666420
0.0000000000,-118.3225000000,33.4841666420
0.0000000000,-118.3216666700,33.4841666420
0.0000000000,-118.3208333300,33.4841666420
0.0000000000,-118.3200000000,33.4841666420
0.0000000000,-118.3191666700,33.4841666420
0.0000000000,-118.3183333300,33.4841666420
0.0000000000,-118.3175000000,33.4841666420
0.0000000000,-118.3166666700,33.4841666420
0.0000000000,-118.3158333300,33.4841666420
0.0000000000,-118.3150000000,33.4841666420
0.0000000000,-118.3141666700,33.4841666420
0.0000000000,-118.3133333300,33.4841666420
0.0000000000,-118.3125000000,33.4841666420
0.0000000000,-118.3116666700,33.4841666420
0.0000000000,-118.3108333300,33.4841666420
0.0000000000,-118.3100000000,33.4841666420
0.0000000000,-118.3091666700,33.4841666420
0.0000000000,-118.3083333300,33.4841666420
0.0000000000,-118.3075000000,33.4841666420
0.0000000000,-118.3066666700,33.4841666420
0.0000000000,-118.3058333300,33.4841666420
0.0000000000,-118.3050000000,33.4841666420
0.0000000000,-118.3041666700,33.4841666420
0.0000000000,-118.3033333300,33.4841666420
0.0000000000,-118.3025000000,33.4841666420
0.0000000000,-118.3016666700,33.4841666420
